key,fullName,email,passportNumber,dateBirth,specialNeeds,key:booking,draftMode
passenger-01,Ilia Topuria,acme@lorem-ipsum.org,X9Y8Z7W,2002/03/05 18:00,Lorem ipsum dolor sit ame,booking-01,true
passenger-02,John Doe,john.doe@example.com,A1B2C3D,2001/07/12 14:30,Wheelchair,booking-02,true
passenger-03,Jane Smith,jane.smith@example.com,E4F5G6H,2003/11/22 09:15,Vegetarian meal,booking-03,true
passenger-04,Ana López,ana.lopez@example.com,I7J8K9L,2005/05/30 22:45,None,booking-04,true
passenger-05,โลเร็ม อิปซัม,acme@lorem-ipsum.org,KX82PQL,2009/02/03 16:24,Assistance dog,booking-05,true
passenger-06,<marquee>Hacked</marquee>,hola@exaaample.com,39QLMZ7X,2003/03/21 12:04,Extra legroom,booking-06,true
passenger-07,<script>alert(‘Hacked!’);</script>,a@b.e,P6A9X25,2004/07/13 14:01,Extra legroom,booking-07,true
passenger-08,Sergio Ramos,a@b.es,MZ4B81KQ,2011/11/10 19:27,Extra legroom,booking-08,true
passenger-09,L,a@b.esx,8YXL032,2010/11/03 20:13,Wheelchair,booking-09,true
passenger-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,T9A73QP,2003/12/06 20:50,Assistance dog,booking-10,true
passenger-11,Lo,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,C51LZ9V,2010/02/12 15:23,Extra legroom,booking-11,true
passenger-12,Lorem Ipsum,merva@example.com,B8N6X30M2,2001/03/06 05:21,Extra legroom,booking-12,true
passenger-13,Luciti Fernandez,luciti@ipsum.org,4QW92A7,2015/02/10 20:00,Vegetarian meal,booking-13,true
passenger-14,Amy Suprimo,amy@example.com,ZY83K5P1,2012/12/06 10:00,None,booking-14,true
passenger-15,洛伦·伊普森,holamundo@example.com,X7F9A32,2014/08/29 05:37,None,booking-15,true
