key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3

user-account-manager-01,true,"UserIdentity{name: 'David', surname: 'Manager', email: 'david@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Luis', surname: 'Garcia', email: 'luis@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Pepe', surname: 'Manager', email: 'pepe@acme.com'}",manager3,manager3

user-account-customer-01,true,"UserIdentity{name: 'Luis', surname: 'Garcia', email: 'luisgarcia@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Pedro', surname: 'Pepicius', email: 'pedrope@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Vinicus', surname: 'Junior', email: 'vinijunnior@acme.com'}",customer3,customer3
user-account-member1,true,"UserIdentity{name:'Αλφα', surname:'One Δεο', email:'alfa@acme.com'}",member1,member1
user-account-member2,true,"UserIdentity{name:'María', surname:'貸んい Γκαρσία', email:'maria@acme.com'}",member2,member2
user-account-member3,true,"UserIdentity{name:'王', surname:'三 Пример', email:'wang3@acme.com'}",member3,member3
user-account-member4,true,"UserIdentity{name:'Léa', surname:'四 Случай', email:'lea4@acme.com'}",member4,member4
user-account-member,true,"UserIdentity{name:'Mønt', surname:'Без Прикрепления', email:'mont@acme.com'}",member,member

